`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:23<01:35, 23.85s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:43<01:04, 21.35s/it]Loading checkpoint shards:  60%|██████    | 3/5 [01:02<00:40, 20.14s/it]Loading checkpoint shards:  80%|████████  | 4/5 [01:18<00:18, 18.64s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 14.52s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 17.14s/it]
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
The new lm_head weights will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
[train] epoch=0 step=1750 loss=0.1334 a2t_avg=0.1398 i2t_avg=0.1428 emb_norm_mean=1.6484 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=1800 loss=0.1102 a2t_avg=0.1395 i2t_avg=0.1426 emb_norm_mean=1.6562 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=1850 loss=0.1484 a2t_avg=0.1396 i2t_avg=0.1426 emb_norm_mean=1.6562 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=1900 loss=0.0984 a2t_avg=0.1398 i2t_avg=0.1430 emb_norm_mean=1.6562 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=1950 loss=0.1507 a2t_avg=0.1397 i2t_avg=0.1423 emb_norm_mean=1.6562 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=2000 loss=0.1335 a2t_avg=0.1395 i2t_avg=0.1425 emb_norm_mean=1.6562 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[ablation] step=2000 audio={'loss_correct_mean': 2.3995597092434764, 'loss_shuffle_mean': 2.3380011124536395, 'loss_noise_mean': 2.6361946454271674, 'win_rate_shuffle': 0.515625, 'win_rate_noise': 0.765625, 'n_examples': 64.0} image={'loss_correct_mean': 3.548217013478279, 'loss_shuffle_mean': 3.55680438131094, 'loss_noise_mean': 4.09091179817915, 'win_rate_shuffle': 0.46875, 'win_rate_noise': 0.859375, 'n_examples': 64.0}
[train] epoch=0 step=2050 loss=0.1730 a2t_avg=0.1397 i2t_avg=0.1427 emb_norm_mean=1.6562 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2100 loss=0.1229 a2t_avg=0.1396 i2t_avg=0.1422 emb_norm_mean=1.6641 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=2150 loss=0.1330 a2t_avg=0.1396 i2t_avg=0.1419 emb_norm_mean=1.6641 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2200 loss=0.1355 a2t_avg=0.1395 i2t_avg=0.1416 emb_norm_mean=1.6641 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2250 loss=0.1137 a2t_avg=0.1391 i2t_avg=0.1413 emb_norm_mean=1.6641 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2300 loss=0.1402 a2t_avg=0.1389 i2t_avg=0.1413 emb_norm_mean=1.6641 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2350 loss=0.1018 a2t_avg=0.1390 i2t_avg=0.1410 emb_norm_mean=1.6641 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2400 loss=0.1433 a2t_avg=0.1389 i2t_avg=0.1415 emb_norm_mean=1.6719 emb_norm_std=1.0625 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2450 loss=0.1620 a2t_avg=0.1389 i2t_avg=0.1415 emb_norm_mean=1.6719 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2500 loss=0.3450 a2t_avg=0.1393 i2t_avg=0.1415 emb_norm_mean=1.6719 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2550 loss=0.1209 a2t_avg=0.1394 i2t_avg=0.1413 emb_norm_mean=1.6719 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2600 loss=0.0953 a2t_avg=0.1393 i2t_avg=0.1416 emb_norm_mean=1.6719 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2650 loss=0.2539 a2t_avg=0.1394 i2t_avg=0.1417 emb_norm_mean=1.6797 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2700 loss=0.1353 a2t_avg=0.1396 i2t_avg=0.1422 emb_norm_mean=1.6797 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2750 loss=0.1949 a2t_avg=0.1396 i2t_avg=0.1423 emb_norm_mean=1.6797 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2800 loss=0.2249 a2t_avg=0.1394 i2t_avg=0.1423 emb_norm_mean=1.6797 emb_norm_std=1.0703 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2850 loss=0.2423 a2t_avg=0.1397 i2t_avg=0.1422 emb_norm_mean=1.6797 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2900 loss=0.0814 a2t_avg=0.1395 i2t_avg=0.1422 emb_norm_mean=1.6797 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=2950 loss=0.2806 a2t_avg=0.1396 i2t_avg=0.1422 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=3000 loss=0.1038 a2t_avg=0.1395 i2t_avg=0.1424 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[ablation] step=3000 audio={'loss_correct_mean': 2.363464716821909, 'loss_shuffle_mean': 2.33191136457026, 'loss_noise_mean': 2.6839432157576084, 'win_rate_shuffle': 0.5625, 'win_rate_noise': 0.8125, 'n_examples': 64.0} image={'loss_correct_mean': 3.568688977509737, 'loss_shuffle_mean': 3.5442479699850082, 'loss_noise_mean': 4.047956857830286, 'win_rate_shuffle': 0.40625, 'win_rate_noise': 0.78125, 'n_examples': 64.0}
[train] epoch=0 step=3050 loss=0.1061 a2t_avg=0.1395 i2t_avg=0.1429 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3100 loss=0.1276 a2t_avg=0.1395 i2t_avg=0.1428 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0201
[train] epoch=0 step=3150 loss=0.2911 a2t_avg=0.1397 i2t_avg=0.1429 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3200 loss=0.1703 a2t_avg=0.1400 i2t_avg=0.1426 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3250 loss=0.1244 a2t_avg=0.1400 i2t_avg=0.1428 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3300 loss=0.1444 a2t_avg=0.1402 i2t_avg=0.1426 emb_norm_mean=1.6875 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3350 loss=0.1210 a2t_avg=0.1401 i2t_avg=0.1425 emb_norm_mean=1.6953 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3400 loss=0.1006 a2t_avg=0.1401 i2t_avg=0.1426 emb_norm_mean=1.6953 emb_norm_std=1.0781 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3450 loss=0.1561 a2t_avg=0.1402 i2t_avg=0.1425 emb_norm_mean=1.6953 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3500 loss=0.0687 a2t_avg=0.1402 i2t_avg=0.1423 emb_norm_mean=1.6953 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3550 loss=0.1880 a2t_avg=0.1402 i2t_avg=0.1424 emb_norm_mean=1.6953 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3600 loss=0.1068 a2t_avg=0.1399 i2t_avg=0.1424 emb_norm_mean=1.6953 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3650 loss=0.1152 a2t_avg=0.1400 i2t_avg=0.1427 emb_norm_mean=1.7031 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3700 loss=0.0867 a2t_avg=0.1400 i2t_avg=0.1428 emb_norm_mean=1.7031 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3750 loss=0.0329 a2t_avg=0.1402 i2t_avg=0.1427 emb_norm_mean=1.7031 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3800 loss=0.0908 a2t_avg=0.1401 i2t_avg=0.1428 emb_norm_mean=1.7031 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3850 loss=0.2049 a2t_avg=0.1403 i2t_avg=0.1428 emb_norm_mean=1.7031 emb_norm_std=1.0859 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3900 loss=0.1157 a2t_avg=0.1405 i2t_avg=0.1429 emb_norm_mean=1.7031 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=3950 loss=0.1415 a2t_avg=0.1406 i2t_avg=0.1429 emb_norm_mean=1.7109 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=4000 loss=0.1179 a2t_avg=0.1406 i2t_avg=0.1429 emb_norm_mean=1.7109 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
[ablation] step=4000 audio={'loss_correct_mean': 2.3438208485022187, 'loss_shuffle_mean': 2.3248840356245637, 'loss_noise_mean': 2.6700398540124297, 'win_rate_shuffle': 0.578125, 'win_rate_noise': 0.84375, 'n_examples': 64.0} image={'loss_correct_mean': 3.6239218525588512, 'loss_shuffle_mean': 3.60488236322999, 'loss_noise_mean': 4.07630142942071, 'win_rate_shuffle': 0.46875, 'win_rate_noise': 0.78125, 'n_examples': 64.0}
[train] epoch=0 step=4050 loss=0.1445 a2t_avg=0.1405 i2t_avg=0.1430 emb_norm_mean=1.7109 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=4100 loss=0.1807 a2t_avg=0.1408 i2t_avg=0.1431 emb_norm_mean=1.7109 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=4150 loss=0.0897 a2t_avg=0.1408 i2t_avg=0.1433 emb_norm_mean=1.7109 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
[train] epoch=0 step=4200 loss=0.1791 a2t_avg=0.1410 i2t_avg=0.1433 emb_norm_mean=1.7109 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0203
